rounds;minSpace;maxSpace
1;25;25
2;24;26
3;25;25
4;23;26
5;26;26
6;24;26
7;25;25
8;22;26
9;25;26
10;25;27
11;26;27
12;23;26
13;26;26
14;24;26
15;25;25
16;21;26
17;24;25
18;24;26
19;25;26
20;23;26
21;26;27
22;25;27
23;26;27
24;22;26
25;25;26
26;25;27
27;26;27
28;23;26
29;26;27
30;25;27
31;25;27
32;20;26
33;23;24
34;23;25
35;24;25
36;22;25
37;25;26
38;24;26
39;25;26
40;22;26
41;25;26
42;25;27
43;26;27
44;23;26
45;26;27
46;25;27
47;25;27
48;20;25
49;23;24
50;23;25
51;24;25
52;22;25
53;25;26
54;24;26
55;25;26
56;21;25
57;24;25
58;24;26
59;25;26
60;22;25
61;25;26
62;24;26
63;24;26
64;18;25
65;21;22
66;21;23
67;22;23
68;20;23
69;23;24
70;22;24
71;23;24
72;20;24
73;23;24
74;23;25
75;24;25
76;21;24
77;24;25
78;23;25
79;23;25
80;19;24
81;22;23
82;22;24
83;23;24
84;21;24
85;24;25
86;23;25
87;24;25
88;20;24
89;23;24
90;23;25
91;24;25
92;21;24
93;24;25
94;23;25
95;23;25
96;17;23
97;20;21
98;20;22
99;21;22
100;19;22
101;22;23
102;21;23
103;22;23
104;19;23
105;22;23
106;22;24
107;23;24
108;20;23
109;23;24
110;22;24
111;22;24
112;17;22
113;20;21
114;20;22
115;21;22
116;19;22
117;22;23
118;21;23
119;22;23
120;18;22
121;21;22
122;21;23
123;22;23
124;19;22
125;22;23
126;21;23
127;21;23
128;13;21
129;16;17
130;16;18
131;17;18
132;15;18
133;18;19
134;17;19
135;18;19
136;15;19
137;18;19
138;18;20
139;19;20
140;16;19
141;19;20
142;18;20
143;18;20
144;14;19
145;17;18
146;17;19
147;18;19
148;16;19
149;19;20
150;18;20
151;19;20
152;15;19
153;18;19
154;18;20
155;19;20
156;16;19
157;19;20
158;18;20
159;18;20
160;13;19
161;16;17
162;16;18
163;17;18
164;15;18
165;18;19
166;17;19
167;18;19
168;15;19
169;18;19
170;18;20
171;19;20
172;16;19
173;19;20
174;18;20
175;18;20
176;13;18
177;16;17
178;16;18
179;17;18
180;15;18
181;18;19
182;17;19
183;18;19
184;14;18
185;17;18
186;17;19
187;18;19
188;15;18
189;18;19
190;17;19
191;17;19
192;10;17
193;13;14
194;13;15
195;14;15
196;12;15
197;15;16
198;14;16
199;15;16
200;12;16
201;15;16
202;15;17
203;16;17
204;13;16
205;16;17
206;15;17
207;15;17
208;11;16
209;14;15
210;14;16
211;15;16
212;13;16
213;16;17
214;15;17
215;16;17
216;12;16
217;15;16
218;15;17
219;16;17
220;13;16
221;16;17
222;15;17
223;15;17
224;9;15
225;12;13
226;12;14
227;13;14
228;11;14
229;14;15
230;13;15
231;14;15
232;11;15
233;14;15
234;14;16
235;15;16
236;12;15
237;15;16
238;14;16
239;14;16
240;9;14
241;12;13
242;12;14
243;13;14
244;11;14
245;14;15
246;13;15
247;14;15
248;10;14
249;13;14
250;13;15
251;14;15
252;11;14
253;14;15
254;13;15
255;13;15
